episode_score,best_tile_score
5480,512
3724,256
3520,256
3392,256
1844,128
6240,512
4012,256
7168,512
7132,512
3080,256
5076,512
4112,256
3500,256
5044,512
5652,512
2764,256
7040,512
1428,128
5644,512
6336,512
7408,512
2620,256
2060,128
5316,512
1660,128
6076,512
7144,512
5172,512
988,128
6764,512
6516,512
5060,512
1384,128
3372,256
5428,512
3180,256
6648,512
5480,512
2752,256
1564,128
6940,512
3092,256
3304,256
1460,128
1560,128
3084,256
3112,256
2672,256
3652,256
7460,512
3128,256
7088,512
3460,256
2472,256
3076,256
6952,512
3524,256
1344,128
1628,128
3212,256
5460,512
1856,128
3188,256
3596,256
3104,256
7044,512
1392,128
3196,256
5636,512
1388,128
3356,256
1376,128
4624,512
3168,256
3248,256
6700,512
2140,128
2540,256
5436,512
3340,256
2864,256
3696,256
6060,512
6004,512
3140,256
2396,256
3852,256
1344,128
6100,512
4824,512
620,64
7200,512
6812,512
3060,256
3088,256
2952,256
7100,512
3480,256
1852,128
6900,512
6288,512
8100,512
7228,512
3092,256
6052,512
5324,512
1620,128
3068,256
7180,512
5288,512
2456,256
3132,256
3020,256
3412,256
6864,512
2496,256
1788,128
2732,256
2796,256
5332,512
6588,512
4044,256
5868,512
5096,512
6372,512
1408,128
6980,512
2668,256
7244,512
3860,256
3040,256
5608,512
5460,512
6816,512
1360,128
5488,512
4004,256
7080,512
3012,256
3432,256
3096,256
3796,256
3020,256
3148,256
4616,512
6360,512
6016,512
5628,512
3152,256
3888,256
6020,512
4096,256
6632,512
7044,512
5196,512
3552,256
1372,128
3200,256
2072,128
3084,256
2196,128
5060,512
6804,512
4552,512
3064,256
5680,512
2108,256
5176,512
7096,512
4192,256
5524,512
3116,256
6732,512
3960,256
3228,256
6604,512
5572,512
3036,256
3064,256
5764,512
4492,256
1076,128
4840,256
11092,1024
3220,256
1744,128
7028,512
5436,512
7072,512
3184,256
5468,512
6952,512
8472,512
2648,256
5472,512
8120,512
3692,256
5772,512
6748,512
1324,128
3316,256
6900,512
5668,512
5100,512
4044,256
3072,256
5580,512
5828,512
3592,256
5056,256
5300,512
3572,256
5388,512
2880,256
6276,512
1384,128
3448,256
7200,512
3120,256
6588,512
5732,512
4780,512
3132,256
3572,256
5452,512
5528,512
6956,512
3036,256
7016,512
2756,256
1268,128
1912,128
6484,512
3200,256
4632,256
628,64
3264,256
4728,512
6848,512
6804,512
2000,128
5504,512
3352,256
7120,512
5124,512
3852,256
3276,256
3380,256
3676,256
3164,256
1612,128
3360,256
3012,256
4692,512
3580,256
3076,256
5488,512
5100,512
3392,256
5348,512
4748,512
4900,512
6976,512
596,64
576,64
3300,256
2784,256
1696,128
6716,512
1512,128
1352,128
4568,512
3040,256
1872,128
5692,512
4928,512
7152,512
3112,256
3940,256
2784,256
3052,256
2056,128
1440,128
8020,512
3808,256
2800,256
3476,256
7160,512
7080,512
3084,256
4796,512
2908,256
2732,256
6964,512
2880,256
4628,256
3060,256
1576,128
2376,256
4588,512
